Model,L2 Cache (MB),L3 Cache (MB),TDP (Watt),MHz,Turbo,Cores,Threads,Process (nm),7-Zip
AMD Ryzen Threadripper PRO 3975WX,16,128,280,3500,4200,32,64,7,141386
AMD Ryzen Threadripper PRO 3995WX,32,256,280,2700,4200,64,128,7,140172
AMD Ryzen 9 5950X,8,64,105,3400,4900,16,32,7,122978
AMD Ryzen 9 3950X,8,64,105,3500,4700,16,32,7,99467
Intel Core i9-12900K,14,20,125,3200,5200,16,24,10,97315.5
Intel Core i9-10980XE,18,24.8,165,3000,4600,18,36,14,93076.5
Intel Core i9-9980XE,18,24.8,165,3000,4400,18,36,14,93017.5
Intel Core i9-12900HX,26,30,55,1700,5000,16,24,10,87334.5
AMD Ryzen 9 5900X,6,64,105,3700,4800,12,24,7,84274
AMD Ryzen 9 3900X,6,64,105,3800,4600,12,24,7,80935
Intel Core i7-12800HX,26,25,55,1500,4800,16,24,10,76947
AMD Ryzen 9 3900,6,64,65,3100,4300,12,24,7,75612
Intel Core i7-12700K,12,25,125,3600,5000,12,20,10,73438.5
Intel Core i9-12900HK,23.5,24,45,1800,5000,14,20,10,72836
AMD Ryzen 7 5800X,4,32,105,3800,4700,8,16,7,72113.5
Intel Core i9-10850K,2.5,20,125,3600,5200,10,20,14,70932
Intel Core i9-10900K,2.5,20,125,3700,5300,10,20,14,69987
AMD Ryzen 7 5800X3D,4,96,105,3400,4500,8,16,7,69518
Intel Core i9-12900H,23.5,24,45,1800,5000,14,20,10,65743
Intel Core i5-12600K,9.5,20,125,3700,4900,6,16,10,64260
AMD Ryzen 9 6900HX,4,16,45,3300,4900,6,16,6,64081.5
Intel Core i7-12800H,23.5,24,45,1800,4800,14,20,10,62018
AMD Ryzen 9 6900HS,4,16,35,3300,4900,6,16,6,62006
Intel Core i7-12700H,23.5,24,45,1700,4700,14,20,10,61860
Intel Core i9-10910,2.5,20,125,3600,5000,10,20,14,60747
AMD Ryzen 7 5700G,4,16,65,3800,4600,8,16,7,59702
Intel Core i9-11900K,4,16,125,3500,5300,8,16,14,59658.5
AMD Ryzen 7 3800XT,4,32,105,3900,4700,8,16,7,59247
AMD Ryzen 9 5900HX,4,16,45,3300,4600,8,16,7,58576
AMD Ryzen 9 5980HS,4,16,35,3300,4800,8,16,7,57319
AMD Ryzen 7 3700X,4,32,65,3600,4400,8,16,7,57307
AMD Ryzen 9 5900HS,4,16,35,3300,4600,8,16,7,57286
AMD Ryzen 7 PRO 5750G,4,16,65,3800,4600,8,16,7,57184
Intel Core i7-11700K,4,16,125,3600,5000,8,16,14,57129
AMD Ryzen 5 5600X,3,32,65,3700,4600,8,12,7,56607
Intel Core i9-9900KS,2,16,127,4000,5000,8,16,14,55735
AMD Ryzen 7 5800H,4,16,45,3200,4400,8,16,7,54112
Intel Core i7-10700K,2,16,125,3800,5100,8,16,14,54050
Intel Core i9-11900H,10,24,45,2500,4900,8,16,10,53680.5
Intel Core i9-11980HK,10,24,45,2600,5000,8,16,10,53426
Intel Core i7-12650H,15.5,24,45,2700,4700,10,16,10,53252
Intel Core i9-12900,26,10,65,2400,5100,16,24,10,50152
Intel Core i9-11900KB,10,24,65,3300,5300,8,16,10,50152
AMD Ryzen 7 4800H,4,8,45,2900,4200,8,16,7,50075
Intel Core i9-11950H,10,24,45,2600,5000,8,16,10,50060
AMD Ryzen 9 PRO 6950HS,4,16,35,3300,4900,8,16,6,49474
Intel Core i7-11800H,10,24,45,2300,4600,8,16,10,49080
AMD Ryzen 9 4900H,4,8,45,3300,4400,8,16,7,48976
AMD Ryzen 5 5600G,3,16,65,3900,4400,6,12,7,48700
AMD Ryzen 9 4900HS,4,8,35,3000,4300,8,16,7,48577
AMD Ryzen 7 4800HS,4,8,35,2900,4200,8,16,7,48392
Intel Core i9-9900K,2,16,95,3600,5000,8,16,14,48207
Intel Core i7-11850H,10,24,45,2500,4800,8,16,10,47721
AMD Ryzen 7 6800U,4,16,28,2700,4700,8,16,6,47500
Intel Core i9-10980HK,2,16,45,2400,5300,8,16,14,47455
AMD Ryzen 7 2700X,4,16,105,3700,4300,8,16,12,45814
Intel Xeon W-10885M,2,16,45,2400,5300,8,16,14,45696
Intel Core i7-10870H,2,16,45,2200,5000,8,16,14,44975.5
Intel Core i5-11600K,3,12,125,3900,4900,6,12,14,44971
Intel Core i7-10875H,2,16,45,2300,5100,8,16,14,44947
Intel Core i7-11700,4,16,65,2500,4900,8,16,14,44752
AMD Ryzen 5 5600H,3,16,45,3300,4200,6,12,7,44613
AMD Ryzen 7 PRO 5850U,4,16,25,2900,4400,8,16,7,44266
Intel Core i7-10700,2,16,65,2900,4800,8,16,14,43007
AMD Ryzen 7 5800U,4,16,25,2900,4400,8,16,7,42603.5
AMD Ryzen 7 4980U,4,8,15,2000,4400,8,16,7,42368
Intel Core i9-9880H,2,16,45,2300,4800,8,16,14,42138
Intel Core i9-10885H,2,16,45,2400,5300,8,16,14,41823
Intel Core i9-9980HK,2,16,45,2400,5000,8,16,14,41688
Intel Core i5-11400F,3,12,65,2600,4400,6,12,14,41522
Intel Core i7-1260P,21,18,28,1500,4700,8,16,10,41425.5
AMD Ryzen 7 5700U,4,8,25,1800,4300,8,16,7,41347
AMD Ryzen 7 1800X,4,16,95,3600,4000,8,16,14,40776
Intel Core i5-10600K,1.5,12,125,4100,4800,6,12,14,40379
AMD Ryzen 7 4800U,4,8,15,1800,4200,8,16,7,40117
AMD Ryzen 7 PRO 4750U,4,8,15,1700,4100,8,16,7,39649
AMD Ryzen 7 1700X,4,16,95,3400,3800,8,16,14,39624
Intel Core i7-1270P,21,18,28,1600,4800,12,16,10,38099
AMD Ryzen 5 4600H,3,11,45,3000,4000,6,12,7,37660
Intel Xeon E-2176G,1.5,12,80,3700,4700,6,12,14,37522
AMD Ryzen 5 5625U,3,16,25,2300,4300,6,12,7,37383
Intel Core i5-10400F,1.5,12,65,2900,4300,6,12,14,36731
AMD Ryzen 5 5600U,3,16,25,2300,4200,6,12,7,36241.5
Intel Core i7-8086K,1.5,12,95,3700,5000,6,12,14,36059.5
Intel Core i7-10750H,1.5,12,45,2600,5000,6,12,14,35346
AMD Ryzen 5 PRO 5650U,3,16,25,2300,4200,6,12,7,35235
Intel Core i9-9900T,2,16,35,2100,4400,8,16,14,35084
Intel Core i5-1240P,21,12,28,1200,4400,6,12,10,35067
Intel Core i7-7740X,1,8,112,4300,4500,4,8,14,34974
AMD Ryzen 5 4600U,3,8,15,2100,4000,6,12,7,34854
Intel Xeon E-2276M,1.5,12,45,2800,4700,6,12,14,33994
AMD Ryzen 5 5500U,3,8,25,2100,4000,6,12,7,33890
Intel Core i7-9700,2,12,65,3000,4700,8,8,14,33539
Intel Core i5-10500H,0.135,12,45,2500,4500,6,12,14,33445
Intel Core i7-9750H,0,12,45,2600,4500,6,12,14,33303
AMD Ryzen 5 2600X,4,16,95,3600,4200,6,12,12,33222
AMD Ryzen 5 4680U,3,8,15,2200,4000,6,12,7,32745
AMD Ryzen 5 PRO 6650U,3,16,28,2900,4500,6,12,6,32613
Intel Core i5-11400H,7.5,12,45,2700,4500,6,12,10,32228
AMD Ryzen 5 PRO 4650U,3,8,15,2100,4000,6,12,7,31980
Intel Core i7-1265U,18.5,12,15,1300,4800,10,12,10,31869
Intel Core i7-8750H,1.5,9,45,2200,4100,6,12,14,31144
Intel Core i7-9850H,1.5,12,45,2600,4600,6,12,14,31087
Intel Core i7-10850H,1.5,12,45,2700,5100,6,12,14,30988
AMD Ryzen 7 4700U,4,8,15,2000,4100,8,8,7,30954
AMD Ryzen 5 2600,4,16,65,3400,3900,6,12,12,30898
Intel Core i7-8850H,1.5,9,45,2600,4300,6,12,14,30851
AMD Ryzen 3 3300X,2,16,65,3800,4300,8,8,7,30353
AMD Ryzen 5 1600,3,16,65,3200,3600,6,12,14,30143.5
Intel Core i7-1255U,18.5,12,15,1200,4700,10,12,10,29874
Intel Core i7-11375H,5,12,35,3300,5000,4,8,10,28441
Intel Core i7-11390H,5,12,35,3400,5000,4,8,10,28173
AMD Ryzen 3 3100,2,16,65,3600,3900,4,8,7,27541
Intel Core i7-8559U,1,8,28,2700,4500,4,8,14,26301.5
Intel Core i7-11370H,5,12,35,3300,4800,4,8,10,26086.5
Intel Core i3-10320,1,7.9,65,3800,4600,4,8,14,25864
Intel Core i5-11320H,5,8,35,3200,4500,4,8,10,25790
Intel Core i5-9400F,1.5,9,65,2900,4100,6,6,14,25639
Intel Core i7-4790K,1,8,88,4000,4400,4,8,22,25134
Intel Core i7-1195G7,5,12,28,2900,5000,4,8,10,25040.5
Intel Core i5-1155G7,5,8,28,2500,4500,4,8,10,24992
Intel Core i5-11300H,5,8,35,3100,4400,4,8,10,24721
Intel Core i5-1250P,21,12,28,1200,4400,12,16,10,24625
Intel Core i7-10710U,1,12,15,1100,4700,6,12,14,24493
AMD Ryzen 3 5300U,2,4,25,2600,3800,4,8,7,24366
Intel Core i3-10100,1,6,65,3600,4300,4,8,14,24355.5
Intel Core i5-10300H,1,8,45,2500,4500,4,8,14,24259
AMD Ryzen 5 4500U,3,8,15,2300,4000,6,6,7,24101
Intel Core i7-1185G7,5,12,28,3000,4800,4,8,10,23797
Intel Core i7-1165G7,5,12,28,2800,4700,4,8,10,23460
Intel Core i5-8500,1.5,9,65,3000,4100,6,6,14,23200
Intel Core i5-10400H,1,8,45,2600,4600,4,8,14,23136
Intel Core i7-6700HQ,1,6,45,2600,3500,4,8,14,22733.5
Intel Core i5-8279U,1,6,28,2400,4100,4,8,14,22683
Intel Core i7-10810U,1,12,15,1100,4900,6,12,14,22484.5
Intel Core i5-1235U,18.5,12,15,900,4400,10,12,10,22245.5
AMD FX-8350,8,8,125,4000,4200,8,8,32,22151
Intel Core i5-9300H,1,8,45,2400,4100,4,8,14,22133
Intel Core i5-1135G7,5,8,28,2400,4200,4,8,10,21892.5
AMD Ryzen 5 1500X,2,16,65,3500,3700,4,8,14,21842
Intel Core i5-10200H,1,8,45,2400,4100,4,8,14,21148
Intel Core i5-1145G7,5,8,28,2600,4400,4,8,10,20565
Intel Core i7-7700HQ,1,6,45,2800,3800,4,8,14,19916
AMD Ryzen 5 2400G,2,4,65,3600,3900,4,8,14,19885
Intel Core i7-1180G7,5,12,9,2200,4600,4,8,10,19703
Intel Core i5-11400T,3,12,35,1300,3700,6,12,14,19699
Intel Core i5-8257U,1,6,15,1400,3900,4,8,14,19620
Intel Core i5-1038NG7,2,6,28,2000,3800,4,8,10,19485
Intel Core i5-8259U,1,6,28,2300,3800,4,8,14,19407
Intel Core i7-8809G,1,8,100,3100,4200,4,8,14,19347
AMD Ryzen 5 1400,2,8,65,3200,3400,4,8,14,19219
Intel Core i7-8565U,1,8,15,1800,4600,4,8,14,18860
Intel Core i7-10610U,1,8,15,1800,4900,4,8,14,18717.5
AMD Ryzen 7 3750H,2,4,35,2300,4000,4,8,12,18689
AMD Ryzen 5 3550H,2,4,35,2100,3700,4,8,12,18581
Intel Core i5-1035G7,2,6,15,1200,3700,4,8,10,18342
Intel Core i7-8665U,1,8,15,1900,4800,4,8,14,18298
AMD Ryzen 7 2700U,2,4,15,2200,3800,4,8,14,17317
Intel Core i7-10510U,1,8,15,1800,4900,4,8,14,17315
Intel Core i5-8365U,1,6,15,1600,4100,4,8,14,17293
Intel Core i7-1065G7,2,8,15,1300,3900,4,8,10,17254.5
Intel Core i3-9100F,1,6,65,3600,4200,4,4,14,17150
AMD Ryzen 5 3500U,2,4,15,2100,3700,4,8,12,17024.5
Intel Core i7-1160G7,5,12,15,2100,4400,4,8,10,17006
Intel Core i5-10210U,1,6,15,1600,4200,4,8,14,16742
AMD Ryzen 7 PRO 3700U,2,4,15,2300,4000,4,8,12,16735
AMD Ryzen Embedded V1605B,2,4,15,2000,3600,4,8,14,16708
Intel Core i5-10310U,1,6,15,1700,4400,4,8,14,16475
Intel Core i7-2860QM,1,8,45,2500,3600,4,8,32,16361
AMD Ryzen 5 2500U,2,4,15,2000,3600,4,8,14,16251
AMD Ryzen 5 PRO 3500U,2,4,15,2100,3700,4,8,12,16220.5
Intel Core i5-8265U,1,6,15,1600,3900,4,8,14,15999
AMD Ryzen 5 3450U,2,4,15,2100,3500,4,8,12,15878
Intel Core i7-8550U,1,8,15,1800,4000,4,8,14,15613
