Model,L2 Cache,L3 Cache,TDP,MHz,Turbo,Cores,Threads,Process,Blender
Intel Core i5-1038NG7,2,6,28,2000,3800,4,8,10,4.2
Intel Core i9-12900HK,23.5,24,45,1800,5000,14,20,10,178.4
Intel Core i9-12900H,23.5,24,45,1800,5000,14,20,10,190.3
Intel Core i7-12700H,23.5,24,45,1700,4700,14,20,10,214
AMD Ryzen 9 6900HX,4,16,45,3300,4900,8,16,6,219
Intel Core i7-12800H,23.5,24,45,1800,4800,14,20,10,224
AMD Ryzen 9 6900HS,4,16,35,3300,4900,8,16,6,224
Intel Core i7-12650H,15.5,24,45,1700,4700,10,16,10,233
AMD Ryzen 9 5900HS,4,16,35,3300,4600,8,16,7,241
Intel Core i9-11900H,10,24,45,2500,4900,8,16,10,242.5
AMD Ryzen 9 5900HX,4,16,45,3300,4600,8,16,7,245
AMD Ryzen 9 5980HS,4,16,35,3300,4800,8,16,7,245.6
AMD Ryzen 9 4900H,4,8,45,3300,4400,8,16,7,247.3
Intel Core i9-11950H,10,24,45,2600,5000,8,16,10,254
AMD Ryzen 7 5800H,4,16,45,3200,4400,8,16,7,255
Intel Core i9-11980HK,10,24,45,2600,5000,8,16,10,256
Intel Core i7-11800H,10,24,45,2300,4600,8,16,10,261
AMD Ryzen 7 4800H,4,8,45,2900,4200,8,16,7,262
AMD Ryzen 9 PRO 6950HS,4,16,35,3300,4900,8,16,6,264
Intel Core i9-10980HK,2,16,45,2400,5300,8,16,14,279
AMD Ryzen 7 4800HS,4,8,35,2900,4200,8,16,7,284
Intel Core i7-11850H,10,24,45,2500,4800,8,16,10,285
Intel Xeon W-10885M,2,16,45,2400,5300,8,16,14,286
Intel Core i7-10870H,2,16,45,2200,5000,8,16,14,292
AMD Ryzen 9 4900HS,4,8,35,3000,4300,8,16,7,297
Intel Core i9-10885H,2,16,45,2400,5300,8,16,14,302
AMD Ryzen 7 6800U,4,16,28,2700,4700,8,16,6,315.75
AMD Ryzen 5 5600H,3,16,45,3300,4200,6,12,7,318
Intel Core i7-10875H,2,16,45,2300,5100,8,16,14,322.5
Intel Core i7-1260P,21,18,28,1500,4700,12,16,10,333.5
Intel Core i9-9880H,2,16,45,2300,4800,8,16,14,334.5
AMD Ryzen 7 5700U,4,8,25,1800,4300,8,16,7,338
AMD Ryzen 7 4800U,4,8,15,1800,4200,8,16,7,340
AMD Ryzen 7 4980U,4,8,15,2000,4400,8,16,7,342
AMD Ryzen 7 PRO 5850U,4,16,25,1900,4400,8,16,7,345
Intel Core i9-9980HK,2,16,45,2400,5000,8,16,14,348.4
AMD Ryzen 5 4600H,3,11,45,3000,4000,6,12,7,349
AMD Ryzen 7 5800U,4,16,25,1900,4400,8,16,7,351.85
AMD Ryzen 7 PRO 4750U,4,8,15,1700,4100,8,16,7,352
AMD Ryzen 5 5625U,3,16,25,2300,4300,6,12,7,370
Intel Core i7-10750H,1.5,12,45,2600,5000,6,12,14,371
Intel Core i7-1270P,21,18,28,1600,4800,12,16,10,375
Intel Xeon E-2276M,1.5,12,45,2800,4700,6,12,14,384
Intel Core i5-10500H,0.153,12,45,2500,4500,6,12,14,385.5
AMD Ryzen 5 4600U,3,8,15,2100,4000,6,12,7,402
Intel Core i9-8950HK,1.5,12,45,2900,4800,6,12,14,410.84
AMD Ryzen 5 5500U,3,8,25,2100,4000,6,12,7,412
Intel Core i7-1265U,18.5,12,15,1300,4800,10,12,10,413
Intel Core i7-9850H,1.5,12,45,2600,4600,6,12,14,415
Intel Core i7-1255U,18.5,12,15,1200,4700,10,12,10,416
Intel Core i5-11400H,7.5,12,45,2700,4500,6,12,10,419
AMD Ryzen 5 5600U,3,16,25,2300,4200,6,12,7,421.5
Intel Core i9-9900T,2,16,35,2100,4400,8,16,14,422
Intel Core i5-1240P,21,12,28,1200,4400,12,16,10,424
Intel Core i7-10850H,1.5,12,45,2700,5100,6,12,14,425
AMD Ryzen 5 PRO 4650U,3,8,15,2100,4000,6,12,7,428.5
AMD Ryzen 5 PRO 6650U,3,16,28,2900,4500,6,12,6,440
AMD Ryzen 5 PRO 5650U,3,16,25,2300,4200,6,12,7,443.1
AMD Ryzen 5 4680U,3,8,15,2200,4000,6,12,7,458
Intel Core i7-8750H,1.5,9,45,2200,4100,6,12,14,469.25
Intel Core i7-11375H,5,12,35,3300,5000,4,8,10,473
AMD Ryzen 7 4700U,4,8,15,2000,4100,8,8,7,477.5
Intel Core i7-8850H,1.5,9,45,2600,4300,6,12,14,490.1
Intel Core i7-11390H,5,12,35,3400,5000,4,8,10,495
Intel Core i7-11370H,5,12,35,3300,4800,4,8,10,499
Intel Xeon E-2176M,1.5,12,45,2700,4400,6,12,14,510.1
Intel Core i5-1250P,21,12,28,1200,4400,12,16,10,511
Intel Core i5-11320H,5,8,35,3200,4500,4,8,10,511.5
Intel Core i5-10300H,1,8,45,2500,4500,4,8,14,513.9
Intel Core i5-10200H,1,8,45,2400,4100,4,8,14,515
Intel Core i5-1155G7,5,8,28,2500,4500,4,8,10,540
Intel Core i5-11300H,5,8,35,3100,4400,4,8,10,542
Intel Core i5-8500T,1.5,9,35,2100,3500,6,6,14,561.3
Intel Core i5-10400H,1,8,45,2600,4600,4,8,14,565
Intel Core i7-1185G7,5,12,28,3000,4800,4,8,10,568
AMD Ryzen 5 4500U,3,8,15,2300,4000,6,6,7,584
Intel Core i7-1165G7,5,12,28,2800,4700,4,8,10,587
Intel Core i5-9300H,1,8,45,2400,4100,4,8,14,602
Intel Core i7-1195G7,5,12,28,2900,5000,4,8,10,614
Intel Core i7-10710U,1,12,15,1100,4700,6,12,14,618
Intel Core i5-1235U,18.5,12,15,900,4400,10,12,10,622.5
Intel Core i7-7700T,1,8,35,2900,3800,4,8,14,626
Intel Core i5-8279U,1,6,28,2400,4100,4,8,14,627
Intel Core i7-7700HQ,1,6,45,2800,3800,4,8,14,630.9
AMD Ryzen 7 3750H,2,4,35,2300,4000,4,8,12,633
AMD Ryzen 5 3550H,2,4,35,2100,3700,4,8,12,648
Intel Core i5-1135G7,5,8,28,2400,4200,4,8,10,649.5
Intel Core i7-10810U,1,12,15,1100,4900,6,12,14,653
Intel Core i7-8559U,1,8,28,2700,4500,4,8,14,666
