Model,L2 Cache,L3 Cache,TDP,MHz,Turbo,Cores,Threads,Process,Blender
Intel Core i5-1038NG7,2,6,28,2000,3800,4,8,10,4.2
AMD Ryzen Threadripper PRO 3995WX,32,256,280,2700,4200,64,128,7,47.8
AMD Ryzen Threadripper PRO 3975WX,16,128,280,3500,4200,32,64,7,69.4
AMD Ryzen Threadripper 2970WX,12,64,250,3000,4200,24,48,12,110.7
AMD Ryzen 9 5950X,8,64,105,3400,4900,16,32,7,117.65
Intel Core i9-12900K,14,20,125,3200,5200,16,24,10,124.7
AMD Ryzen 9 3950X,8,64,105,3500,4700,16,32,7,125.8
Intel Core i9-10980XE,18,24.8,165,3000,4600,18,36,14,130
Intel Core i9-9980XE,18,24.8,165,3000,4400,18,36,14,136.5
Intel Core i9-12900HX,26,30,55,1700,5000,16,24,10,148.2
AMD Ryzen Threadripper 2950X,8,32,180,3500,4400,16,32,12,152.7
Intel Core i7-12800HX,26,25,55,1500,4800,16,24,10,153.1
AMD Ryzen 9 5900X,6,64,105,3700,4800,12,24,7,154.5
AMD Ryzen 9 3900X,6,64,105,3800,4600,12,24,7,162.3
AMD Ryzen Threadripper 1950X,8,32,180,3400,4200,16,32,14,163
Intel Core i7-12700K,12,25,125,3600,5000,12,20,10,173.1
Intel Core i9-12900HK,23.5,24,45,1800,5000,14,20,10,178.4
AMD Ryzen 9 3900,6,64,65,3100,4300,12,24,7,179
Intel Core i9-10900K,2.5,20,125,3700,5300,10,20,14,179
Intel Core i9-10850K,2.5,20,125,3600,5200,10,20,14,181.2
AMD Ryzen 7 3700X,4,32,65,3600,4400,8,16,7,181.4
AMD Ryzen Threadripper 2920X,6,32,180,3500,4300,12,24,12,181.4
Intel Core i5-12600K,9.5,20,125,3700,4900,6,16,10,189.5
Intel Core i9-12900H,23.5,24,45,1800,5000,14,20,10,190.3
AMD Ryzen 7 5800X,4,32,105,3800,4700,8,16,7,197.2
Intel Core i9-10910,2.5,20,125,3600,5000,10,20,14,208
Intel Core i9-11900K,4,16,125,3500,5300,8,16,14,211.85
AMD Ryzen 7 5800X3D,4,96,105,3400,4500,8,16,7,212.6
